,Nombre,Edad,Ciudad,Puntuacion,Comentarios
0,Trabajador_01,29,,92,Buen trabajo
1,Trabajador_02,53,Medellín,78,Sin comentarios
2,Trabajador_03,21,Cali,92,Excelente
3,Trabajador_02,22,,78,Excelente
4,Trabajador_02,54,Barranquilla,,Excelente
5,Trabajador_05,25,Medellín,90,Sin comentarios
6,Trabajador_03,59,Cali,,A mejorar
7,Trabajador_03,45,Barranquilla,78,Sin comentarios
8,Trabajador_03,48,Barranquilla,90,
9,Trabajador_02,26,Medellín,85,Sin comentarios
10,,46,Bogotá,85,Excelente
11,Trabajador_03,31,Medellín,92,Buen trabajo
12,Trabajador_02,57,Cali,78,Sin comentarios
13,Trabajador_05,58,Barranquilla,78,Sin comentarios
14,Trabajador_01,39,Medellín,85,Excelente
15,Trabajador_05,28,Bogotá,,Buen trabajo
16,Trabajador_01,40,Medellín,90,Buen trabajo
17,Trabajador_02,18,,,
18,Trabajador_04,54,Bogotá,,Sin comentarios
19,Trabajador_01,38,Cali,85,Buen trabajo
20,Trabajador_05,43,Barranquilla,85,Buen trabajo
21,Trabajador_02,53,Medellín,85,A mejorar
22,Trabajador_01,40,Bogotá,92,A mejorar
23,Trabajador_04,18,,,
24,Trabajador_04,57,Bogotá,78,
25,Trabajador_03,32,,90,Buen trabajo
26,Trabajador_03,38,Cali,92,Excelente
27,Trabajador_05,26,Barranquilla,78,Sin comentarios
28,Trabajador_01,26,Cali,,
29,Trabajador_01,27,Medellín,85,Excelente
30,Trabajador_03,43,Bogotá,,
31,Trabajador_01,58,,90,Excelente
32,Trabajador_01,52,,92,Sin comentarios
33,Trabajador_04,42,Bogotá,92,Sin comentarios
34,Trabajador_03,43,Bogotá,90,A mejorar
35,Trabajador_02,28,Medellín,78,Excelente
36,Trabajador_03,55,Cali,78,A mejorar
37,Trabajador_02,19,,92,Excelente
38,Trabajador_04,24,Medellín,92,A mejorar
39,Trabajador_05,35,Cali,85,Sin comentarios
40,Trabajador_01,44,Medellín,78,
41,Trabajador_04,51,,90,A mejorar
42,Trabajador_01,44,Bogotá,78,Excelente
43,Trabajador_05,34,Bogotá,85,Excelente
44,Trabajador_05,41,Cali,92,Sin comentarios
45,Trabajador_04,42,Barranquilla,92,Excelente
46,Trabajador_05,24,Cali,85,Buen trabajo
47,Trabajador_02,23,Barranquilla,90,
48,Trabajador_05,41,Medellín,92,A mejorar
49,Trabajador_01,50,,,
50,Trabajador_01,46,,92,Sin comentarios
51,Trabajador_01,39,Barranquilla,,A mejorar
52,Trabajador_01,43,,85,A mejorar
53,Trabajador_02,45,Bogotá,85,Buen trabajo
54,,38,Barranquilla,92,Sin comentarios
55,Trabajador_04,24,Cali,78,Excelente
56,Trabajador_01,34,Bogotá,,Buen trabajo
57,Trabajador_05,37,Bogotá,90,Buen trabajo
58,Trabajador_01,58,Cali,92,
59,Trabajador_05,37,Bogotá,90,
60,Trabajador_05,39,Barranquilla,92,
61,Trabajador_01,45,,78,Buen trabajo
62,Trabajador_02,57,Bogotá,78,Excelente
63,Trabajador_05,24,Barranquilla,78,A mejorar
64,Trabajador_05,18,Medellín,78,
65,Trabajador_01,49,Barranquilla,85,Excelente
66,Trabajador_05,30,,85,Sin comentarios
67,Trabajador_05,47,Barranquilla,,
68,Trabajador_01,40,Cali,90,A mejorar
69,Trabajador_01,36,,92,Sin comentarios
70,Trabajador_04,49,Medellín,92,Sin comentarios
71,Trabajador_02,47,Cali,85,A mejorar
72,Trabajador_02,46,Barranquilla,92,
73,Trabajador_05,46,,85,Buen trabajo
74,Trabajador_02,47,Medellín,,A mejorar
75,Trabajador_05,33,Cali,90,A mejorar
76,Trabajador_04,57,Medellín,,A mejorar
77,Trabajador_01,36,Barranquilla,78,Sin comentarios
78,Trabajador_01,35,Medellín,78,Excelente
79,Trabajador_01,18,Bogotá,78,Buen trabajo
80,Trabajador_02,31,Cali,,
81,Trabajador_04,19,Medellín,92,
82,Trabajador_02,45,Barranquilla,90,Excelente
83,Trabajador_02,47,Barranquilla,78,A mejorar
84,Trabajador_04,55,Medellín,78,Buen trabajo
85,Trabajador_04,21,Barranquilla,78,
86,Trabajador_04,18,,90,
87,Trabajador_04,25,,78,A mejorar
88,Trabajador_01,46,,90,Excelente
89,Trabajador_03,56,Bogotá,78,Buen trabajo
90,Trabajador_03,20,Medellín,,Excelente
91,Trabajador_04,49,Bogotá,,Excelente
92,Trabajador_03,27,Barranquilla,90,
93,Trabajador_03,27,Bogotá,,Buen trabajo
94,Trabajador_04,36,Barranquilla,90,
95,Trabajador_03,51,Barranquilla,,
96,Trabajador_02,50,Cali,,Buen trabajo
97,Trabajador_05,40,,90,Sin comentarios
98,Trabajador_05,45,Barranquilla,92,
99,Trabajador_04,49,Cali,,Sin comentarios
100,Trabajador_01,24,,78,Buen trabajo
101,Trabajador_04,46,Barranquilla,92,
102,,25,Barranquilla,90,Excelente
103,Trabajador_05,18,Bogotá,92,Buen trabajo
104,Trabajador_04,20,Bogotá,85,A mejorar
105,Trabajador_02,41,,85,Sin comentarios
106,Trabajador_03,40,Barranquilla,,Buen trabajo
107,Trabajador_01,25,Medellín,,Buen trabajo
108,Trabajador_03,54,Bogotá,78,
109,Trabajador_03,20,,92,
110,Trabajador_04,50,Barranquilla,85,
111,Trabajador_03,45,Barranquilla,,A mejorar
112,Trabajador_02,25,Medellín,92,
113,Trabajador_03,51,,,Buen trabajo
114,Trabajador_04,52,Barranquilla,,
115,Trabajador_02,49,,85,Excelente
116,Trabajador_05,41,Medellín,85,
117,Trabajador_03,31,,,A mejorar
118,Trabajador_04,49,Medellín,90,Excelente
119,Trabajador_05,33,Bogotá,,Buen trabajo
120,Trabajador_05,21,,,Buen trabajo
121,Trabajador_01,54,Medellín,78,Sin comentarios
122,Trabajador_02,38,Cali,78,Excelente
123,Trabajador_03,31,Bogotá,78,Sin comentarios
124,Trabajador_04,48,Bogotá,90,Excelente
125,Trabajador_01,35,Bogotá,90,Excelente
126,Trabajador_02,24,Cali,,A mejorar
127,Trabajador_01,27,Cali,78,Sin comentarios
128,Trabajador_02,24,Barranquilla,90,A mejorar
129,Trabajador_02,50,Medellín,85,Excelente
130,Trabajador_03,40,Barranquilla,,Buen trabajo
131,Trabajador_02,38,Medellín,92,Excelente
132,Trabajador_01,36,Cali,,A mejorar
133,Trabajador_02,36,Cali,92,Sin comentarios
134,Trabajador_03,53,Barranquilla,78,Sin comentarios
135,Trabajador_03,46,,92,A mejorar
136,Trabajador_01,35,Barranquilla,78,Sin comentarios
137,Trabajador_05,19,Medellín,85,
138,Trabajador_05,18,Barranquilla,92,Buen trabajo
139,Trabajador_02,22,Bogotá,,Buen trabajo
140,Trabajador_04,37,Medellín,78,Buen trabajo
141,Trabajador_02,28,Medellín,,Sin comentarios
142,Trabajador_01,59,,90,Sin comentarios
143,Trabajador_01,19,Cali,78,Excelente
144,Trabajador_01,20,Medellín,92,Excelente
145,Trabajador_01,40,Cali,78,Buen trabajo
146,Trabajador_01,29,Barranquilla,,
147,Trabajador_03,37,Bogotá,85,Excelente
148,Trabajador_05,22,,78,Excelente
149,Trabajador_01,54,Cali,92,Sin comentarios
150,Trabajador_04,55,Medellín,90,
151,Trabajador_04,47,Cali,85,Buen trabajo
152,Trabajador_04,26,Medellín,90,Excelente
153,Trabajador_04,51,Cali,78,
154,Trabajador_03,52,Medellín,,
155,Trabajador_04,39,Barranquilla,,Buen trabajo
156,Trabajador_01,41,Medellín,92,
157,Trabajador_02,34,Medellín,,
158,Trabajador_04,27,Bogotá,85,
159,Trabajador_03,47,Medellín,,Excelente
160,Trabajador_03,40,Bogotá,92,Buen trabajo
161,Trabajador_04,49,,78,
162,Trabajador_02,34,Bogotá,78,
163,Trabajador_04,34,Barranquilla,,Excelente
164,Trabajador_03,31,Bogotá,90,Buen trabajo
165,Trabajador_05,26,,78,Sin comentarios
166,Trabajador_01,57,Barranquilla,,Excelente
167,Trabajador_03,19,Cali,92,Buen trabajo
168,Trabajador_04,42,Cali,,
169,Trabajador_01,56,Bogotá,78,Buen trabajo
170,Trabajador_04,26,Bogotá,92,Buen trabajo
171,Trabajador_04,39,,,Buen trabajo
172,Trabajador_05,21,,85,Sin comentarios
173,Trabajador_01,43,Medellín,92,Buen trabajo
174,Trabajador_01,46,,85,Sin comentarios
175,Trabajador_05,51,Medellín,90,
176,Trabajador_03,40,Barranquilla,92,Sin comentarios
177,Trabajador_04,54,Bogotá,85,
178,Trabajador_02,28,Barranquilla,78,
179,Trabajador_04,23,,78,Sin comentarios
180,Trabajador_04,35,Barranquilla,90,Excelente
181,Trabajador_03,38,Barranquilla,92,A mejorar
182,Trabajador_04,59,Barranquilla,92,Buen trabajo
183,Trabajador_05,53,,92,A mejorar
184,Trabajador_05,58,Barranquilla,90,Buen trabajo
185,Trabajador_01,55,Medellín,92,Buen trabajo
186,Trabajador_02,51,,78,
187,Trabajador_04,34,Barranquilla,85,Buen trabajo
188,Trabajador_04,54,,78,Buen trabajo
189,Trabajador_03,42,Cali,78,Sin comentarios
190,Trabajador_05,55,Medellín,85,A mejorar
191,Trabajador_02,29,Barranquilla,78,Sin comentarios
192,Trabajador_01,40,Cali,90,Buen trabajo
193,Trabajador_05,59,Cali,85,
194,Trabajador_01,39,,78,Sin comentarios
195,Trabajador_03,38,Cali,,Sin comentarios
196,Trabajador_03,44,Medellín,78,Excelente
197,Trabajador_04,48,Medellín,90,Buen trabajo
198,Trabajador_02,23,Bogotá,92,
199,Trabajador_01,44,Medellín,78,Sin comentarios
200,Trabajador_05,57,Cali,92,Sin comentarios
201,Trabajador_03,51,Medellín,,
202,Trabajador_04,29,,78,Buen trabajo
203,Trabajador_04,24,Bogotá,85,Excelente
204,Trabajador_01,27,Cali,92,Sin comentarios
205,Trabajador_03,34,Bogotá,,Excelente
206,Trabajador_02,43,Cali,85,A mejorar
207,Trabajador_03,38,,85,Buen trabajo
208,Trabajador_01,,Bogotá,85,A mejorar
209,Trabajador_01,19,Barranquilla,85,A mejorar
210,Trabajador_03,18,Cali,78,A mejorar
211,Trabajador_01,53,Barranquilla,78,Buen trabajo
212,Trabajador_03,43,Bogotá,78,Buen trabajo
213,Trabajador_05,46,Barranquilla,,
214,Trabajador_03,38,Barranquilla,,Excelente
215,Trabajador_03,28,Bogotá,,Excelente
216,Trabajador_01,57,,90,
217,Trabajador_01,28,Barranquilla,,
218,Trabajador_04,53,Barranquilla,78,A mejorar
219,Trabajador_04,56,,78,
220,Trabajador_05,57,Barranquilla,90,Sin comentarios
221,Trabajador_04,52,Barranquilla,90,
222,Trabajador_03,51,Barranquilla,,
223,Trabajador_01,41,Medellín,,Sin comentarios
224,Trabajador_04,39,,90,Sin comentarios
225,Trabajador_04,22,Barranquilla,85,Sin comentarios
226,Trabajador_05,50,,78,Sin comentarios
227,Trabajador_05,53,Cali,85,A mejorar
228,Trabajador_03,37,Cali,78,Sin comentarios
229,Trabajador_01,36,Barranquilla,78,A mejorar
230,Trabajador_05,52,,90,A mejorar
231,Trabajador_04,34,,90,Sin comentarios
232,Trabajador_01,51,,85,Excelente
233,Trabajador_01,26,Medellín,78,Sin comentarios
234,Trabajador_04,43,Cali,85,Sin comentarios
235,Trabajador_05,19,,92,Sin comentarios
236,Trabajador_04,26,,85,Excelente
237,Trabajador_01,26,Medellín,,Buen trabajo
238,Trabajador_02,57,Medellín,85,Buen trabajo
239,Trabajador_02,34,,,A mejorar
240,Trabajador_03,18,Bogotá,,A mejorar
241,Trabajador_04,42,,,Excelente
242,Trabajador_04,57,,92,
243,Trabajador_03,59,Medellín,85,Buen trabajo
244,Trabajador_03,42,Medellín,85,A mejorar
245,Trabajador_03,56,,92,Buen trabajo
246,Trabajador_01,52,,78,Excelente
247,Trabajador_04,20,,90,Excelente
248,Trabajador_01,54,Medellín,85,
249,Trabajador_03,47,,90,
250,Trabajador_04,55,,92,Excelente
251,Trabajador_01,51,Barranquilla,78,A mejorar
252,Trabajador_01,,Bogotá,78,Buen trabajo
253,Trabajador_03,36,Cali,78,Sin comentarios
254,Trabajador_04,54,Bogotá,92,
255,Trabajador_03,34,Barranquilla,,Sin comentarios
256,Trabajador_04,27,Cali,,A mejorar
257,Trabajador_02,29,,90,
258,Trabajador_05,33,Barranquilla,,Sin comentarios
259,Trabajador_05,41,,,A mejorar
260,Trabajador_05,36,Medellín,78,Buen trabajo
261,Trabajador_03,25,Barranquilla,78,A mejorar
262,Trabajador_02,48,Medellín,90,
263,Trabajador_04,38,Barranquilla,85,Excelente
264,Trabajador_01,34,Barranquilla,90,Buen trabajo
265,Trabajador_04,40,Medellín,90,Sin comentarios
266,Trabajador_01,54,Cali,92,
267,Trabajador_04,33,Bogotá,92,Excelente
268,Trabajador_02,23,,90,A mejorar
269,Trabajador_01,25,Barranquilla,90,Excelente
270,Trabajador_03,42,,90,
271,Trabajador_04,35,Medellín,,
272,Trabajador_04,42,,92,
273,Trabajador_01,29,Medellín,90,A mejorar
274,Trabajador_03,32,,78,Excelente
275,Trabajador_03,43,Bogotá,78,
276,Trabajador_02,58,Bogotá,,
277,Trabajador_03,43,Bogotá,,Sin comentarios
278,Trabajador_03,49,Bogotá,85,Sin comentarios
279,Trabajador_03,27,Bogotá,85,Buen trabajo
280,Trabajador_05,33,Bogotá,85,
281,Trabajador_02,24,Medellín,,Sin comentarios
282,Trabajador_04,34,Barranquilla,,Excelente
283,Trabajador_01,40,,,A mejorar
284,Trabajador_04,43,Bogotá,78,Excelente
285,Trabajador_02,38,Medellín,,A mejorar
286,Trabajador_01,39,Medellín,78,Sin comentarios
287,Trabajador_02,24,Medellín,85,Buen trabajo
288,Trabajador_03,31,Barranquilla,85,Excelente
289,Trabajador_01,32,,85,Excelente
290,Trabajador_03,,Barranquilla,90,Excelente
291,Trabajador_04,26,Cali,90,A mejorar
292,Trabajador_04,25,Medellín,92,Sin comentarios
293,Trabajador_01,40,Cali,92,Excelente
294,Trabajador_01,46,Bogotá,92,Excelente
295,Trabajador_02,35,Bogotá,90,Buen trabajo
296,Trabajador_02,48,Barranquilla,90,Buen trabajo
297,Trabajador_03,47,,92,Sin comentarios
298,Trabajador_01,56,Cali,92,Sin comentarios
299,Trabajador_04,52,,,
300,Trabajador_02,35,Barranquilla,92,Buen trabajo
301,Trabajador_02,59,Bogotá,,
302,Trabajador_04,56,,78,A mejorar
303,Trabajador_02,34,,90,
304,Trabajador_03,31,Bogotá,92,Excelente
