Nombre,Edad,Ciudad,Puntuacion,Comentarios,Rendimiento,Juventud
Trabajador_01,29,Desconocido,92.0,Buen trabajo,100.0,28.999999999999996
Trabajador_02,53,Medellín,78.0,Sin comentarios,84.78260869565217,53.0
Trabajador_03,21,Cali,92.0,Excelente,100.0,21.0
Trabajador_02,22,Desconocido,78.0,Excelente,84.78260869565217,22.0
Trabajador_02,54,Barranquilla,86.0,Excelente,93.47826086956522,54.0
Trabajador_05,25,Medellín,90.0,Sin comentarios,97.82608695652173,25.0
Trabajador_03,59,Cali,86.0,A mejorar,93.47826086956522,59.0
Trabajador_03,45,Barranquilla,78.0,Sin comentarios,84.78260869565217,45.0
Trabajador_03,48,Barranquilla,90.0,No especificado,97.82608695652173,48.0
Trabajador_02,26,Medellín,85.0,Sin comentarios,92.3913043478261,26.0
Trabajador_03,31,Medellín,92.0,Buen trabajo,100.0,31.0
Trabajador_02,57,Cali,78.0,Sin comentarios,84.78260869565217,56.99999999999999
Trabajador_05,58,Barranquilla,78.0,Sin comentarios,84.78260869565217,57.99999999999999
Trabajador_01,39,Medellín,85.0,Excelente,92.3913043478261,39.0
Trabajador_05,28,Bogotá,86.0,Buen trabajo,93.47826086956522,28.000000000000004
Trabajador_01,40,Medellín,90.0,Buen trabajo,97.82608695652173,40.0
Trabajador_02,18,Desconocido,86.0,No especificado,93.47826086956522,18.0
Trabajador_04,54,Bogotá,86.0,Sin comentarios,93.47826086956522,54.0
Trabajador_01,38,Cali,85.0,Buen trabajo,92.3913043478261,38.0
Trabajador_05,43,Barranquilla,85.0,Buen trabajo,92.3913043478261,43.0
Trabajador_02,53,Medellín,85.0,A mejorar,92.3913043478261,53.0
Trabajador_01,40,Bogotá,92.0,A mejorar,100.0,40.0
Trabajador_04,18,Desconocido,86.0,No especificado,93.47826086956522,18.0
Trabajador_04,57,Bogotá,78.0,No especificado,84.78260869565217,56.99999999999999
Trabajador_03,32,Desconocido,90.0,Buen trabajo,97.82608695652173,32.0
Trabajador_03,38,Cali,92.0,Excelente,100.0,38.0
Trabajador_05,26,Barranquilla,78.0,Sin comentarios,84.78260869565217,26.0
Trabajador_01,26,Cali,86.0,No especificado,93.47826086956522,26.0
Trabajador_01,27,Medellín,85.0,Excelente,92.3913043478261,27.0
Trabajador_03,43,Bogotá,86.0,No especificado,93.47826086956522,43.0
Trabajador_01,58,Desconocido,90.0,Excelente,97.82608695652173,57.99999999999999
Trabajador_01,52,Desconocido,92.0,Sin comentarios,100.0,52.0
Trabajador_04,42,Bogotá,92.0,Sin comentarios,100.0,42.0
Trabajador_03,43,Bogotá,90.0,A mejorar,97.82608695652173,43.0
Trabajador_02,28,Medellín,78.0,Excelente,84.78260869565217,28.000000000000004
Trabajador_03,55,Cali,78.0,A mejorar,84.78260869565217,55.00000000000001
Trabajador_02,19,Desconocido,92.0,Excelente,100.0,19.0
Trabajador_04,24,Medellín,92.0,A mejorar,100.0,24.0
Trabajador_05,35,Cali,85.0,Sin comentarios,92.3913043478261,35.0
Trabajador_01,44,Medellín,78.0,No especificado,84.78260869565217,44.0
Trabajador_04,51,Desconocido,90.0,A mejorar,97.82608695652173,51.0
Trabajador_01,44,Bogotá,78.0,Excelente,84.78260869565217,44.0
Trabajador_05,34,Bogotá,85.0,Excelente,92.3913043478261,34.0
Trabajador_05,41,Cali,92.0,Sin comentarios,100.0,41.0
Trabajador_04,42,Barranquilla,92.0,Excelente,100.0,42.0
